Audio Path                                                                                    , Gốc (Reference)                                                         , Máy đoán (Prediction)
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_006.wav , mà do lối sống chui nhủi của chúng                                      , mà do lối sống chui nhuổi của chúng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_016.wav , râu ria đã ba ngày không cạo                                            , râu ria đã ba ngày không cạo
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_021.wav , một đường hướng chuyên nghiệp                                           , một đường hướng chuyên nghiệp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_022.wav , lính cứu hỏa khó tiếp cận hiện trường                                   , lính cứu hỏa khó tiếp cận hiện trường
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_034.wav , những người trên ghe của công an đã nhắm thẳng vào ghe anh chủ          , những người trên ghe của công an đã nhắm hẳn vào ghe anh chủ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_037.wav , đừng buồn vì tự giằn vặt mình nữa                                       , đừng buồn vì tự giằn vặt mình nữa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_040.wav , và hít vào mũi làm chất này loãng ra                                    , và thích vào mỗi làm chất này loản ra
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_042.wav , đang hấp dẫn các tập đoàn phân phối đa quốc gia                         , đang hấp dẫn các tập đoàn phân phối đa quốc gia
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_054.wav , dù là đậu sức mạnh hoặc cải bông khủng long                             , dù là đậu sức mạnh hoặc cải bông khủng long
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_061.wav , vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái         , vì nó không nhắc đến những cuộc tấn công nhắm vào người do thái
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_070.wav , rồi khề khà đôi câu vọng cổ với chân chuột                              , rồi khề khà đôi câu vọng cổ với chân chuột
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_078.wav , ở lớp nấu ăn gia đình                                                   , ở lớp nấu ăn gia đình
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_079.wav , mà bạn có thể tham khảo để làm đẹp gian bếp                             , mà bạn có thể tham khảo để làm đẹp gian bếp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_098.wav , cái vị chát chát và đắng ngắt của cà phê nguyên chất                    , cái vị chát chác và đắng ngắt của cà phê nguyên chất
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_103.wav , các em nhỏ sẽ không còn phải đi trên những chuyến đò nguy hiểm          , các em nhỏ sẽ không còn phải đi trên những chuyến đòn nguy hiểm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_108.wav , làm cô nàng rọ rạy thức trắng cả đêm                                    , làm cô nàng rõ ray thức trắng cả đêm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_117.wav , giải quyết khối ung nhọt này phải cần đến một cuộc đại phẫu nghiêm túc  , giải quyết khới un nhọt này phải cần đến một cuộc đậy phẩu nghiêm túc
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_126.wav , thậm chí càng giống áo quí nàng càng mốt                                , thậm chí càng giống áo quý nàng gàng mót
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_139.wav , còn bộ khang hi từ điển                                                 , coòn bộ khăng hi từ điển
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_143.wav , đôi môi mẹ phai son mấp máy một lời ca hoang hoải                       , đôi môi mẹ phai xoan mắp máy một lời ca hoang hoải
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_157.wav , số khác suy đoán rằng anh ta hành động ác tâm vậy                       , số khác xuy đoán rằng anh ta hành động át tâm vậy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_168.wav , làm khung                                                               , làm khung
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_184.wav , hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng                 , hoặc bạn sẽ đến đấy với một tâm trạng chán ngán vô cùng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_195.wav , phải được thực hiện trên cơ sở                                          , phải được thực hiện trên cơ sở
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_210.wav , hai mươi sáu hai mươi bảy                                               , hai mươi sáu hai mươi bảy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_212.wav , ba mươi ba mươi mốt                                                     , ba mươi ba mươi mốt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_222.wav , năm mươi năm mươi mốt                                                   , năm mươi năm mươi mốt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_240.wav , tám mươi sáu tám mươi bảy                                               , tám mươi sáu tám mươi bảy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_241.wav , tám mươi tám tám mươi chín                                              , tám mươi tám tám mươi chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_247.wav , một trăm một hai ba                                                     , một trăm một hai ba
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_248.wav , một ba năm bảy chín                                                     , một ba năm bảy chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_252.wav , nói trước bước không qua                                                , nói trước bước không qua
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_253.wav , chẳng là mấy hôm nay tôi đau bụng quá                                   , chẳng là mấy hôm nay tôi đau bụng quá
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_261.wav , sao kết quả ra tệ vậy                                                   , sau kết quả ra tệ vậy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_272.wav , tôi chỉ muốn xem những đoạn hay mà thôi                                 , tôi chỉ muốn xem những đoạn hay mà thôi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_285.wav , công ty trách nhiệm hữu hạn ăn uống                                     , công ty trách nhiệm hữu hạn ăn uống
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_286.wav , phí chuyển giao công nghệ là ba chục ngàn đồng                          , phía chuyển giao công nghệ là ba chục ngàn đồng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_287.wav , lương ba cọc ba đồng thì nuôi được ai                                   , lương ba cọc ba đồng thì nuôi được ai
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV06\VIVOSDEV06_296.wav , cô ấy đã quá chén                                                       , cô ấy đã quá chén
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_002.wav , hằng năm chúng ta thải ra hàng tỉ thiết bị điện tử                      , hằng năm chúng ta thể ra hàng tỉ thiết bị điện tử
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_025.wav , cho những chuyến dã ngoại của du khách                                  , cho những chuyến dỡ ngoại của du khách
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_030.wav , những nhược điểm của mình                                               , những nhược điểm của mình
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_036.wav , vì đó mới chính là thứ bạn cần                                          , vì đó mới chính là thứ bạn cần
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_039.wav , gió trời không thể thông thốc thổi vào khai trung                       , gió trời không thể thông thốc thổi vào khai trung
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_044.wav , bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập              , bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_045.wav , hoặc cho vào vại muối để lợn ăn dần                                     , hoặc cho vào vại múi để lợn ăn dần
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_064.wav , cứ chụm các đầu ngón tay lại một chỗ                                    , cứ chụm các đầu ngón tay lại một chỗ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_066.wav , đã có dự án để xây dựng một cái cầu từ đất liền                         , đã có dự án để xây dựng một cái cầu từ đất liền
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_067.wav , chạm vào phần thóp mềm trên đầu bé                                      , chạm vào phần thoóp mềm trên đầu bé
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_084.wav , thì bỗng nghe thấy tiếng oác oác từ vạt rừng phi lao                    , thì bũng nghe tiếng oát oát từ vạt rừng phi lao
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_093.wav , phục vụ cho mùa thi đại học đang đến sát sạt                            , phục vụ cho mùa thi đại học đang đến sát sạc
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_098.wav , trận chiến xích bích                                                    , trận chiến xích bích
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_107.wav , nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ               , nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_115.wav , vào cơ quan là anh hót giống hệt nhồng mới lột lưỡi vậy                 , vào cơ quan là anh hót giống hẹt nhòng với lột lưỡi vậy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_125.wav , áng chừng đã ngoại bảy mươi                                             , án thừng đã ngoại bảy mươi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_127.wav , có hai tác dụng tích cực                                                , có hai tác dụng tích cực
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_134.wav , tham gia giảng dạy là lực lượng đoàn viên                               , tham gia giảng dạy là lực lượng đoàn viên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_138.wav , đó hẳn là một món quà                                                   , đó hẳn là một món quà
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_141.wav , và khi thấy tôi vẫn kiên định trả lời trớt quớt                         , và khi thấy tôi vẫn kiên định trả lời trớt quớt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_151.wav , rô bót thông minh                                                       , rô bót thông minh
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_156.wav , đầu tiên là bà con mình vật vã làm ăn                                   , đầu tiên là bà con mình vật vã làm ăn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_168.wav , mà cho đến lúc đó được xem là của tư nhân                               , mà cho đến lúc đó được xen là của tư nhân
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_170.wav , như lần này được nếm món giò thủ hoàn toàn làm từ tai heo               , như lần này được đém món giò thủ hoàn toàn làm từ tay heo
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_182.wav , những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người   , những người hoài nghi nói rằng giữ được vật trao lũng lẳng trên người
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_185.wav , chíu chít gợi tình mẹ con sum họp                                       , chiếu chít gợi tình mẹ con xum họp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_190.wav , nơi có mấy tên trông rất gấu                                            , nơi có mấy tên trong rất gấu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_192.wav , nhiều người cho biết                                                    , nhiều người cho biết
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_194.wav , nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát                          , nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_195.wav , họ cũng luôn tránh xa những tình huống có thể gây hại cho họ            , họ cũng luôn tránh xa những tình huống có thể gây hạ cho họ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_197.wav , trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận           , trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_209.wav , hai mươi bốn hai mươi lăm                                               , hai mươi bốn hai mươi lăm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_211.wav , hai mươi tám hai mươi chín                                              , hai mươi tám hai mươi chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_223.wav , năm mươi hai năm mươi ba                                                , năm mươi hai năm mươi ba
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_231.wav , sáu mươi tám sáu mươi chín                                              , sáu mươi tám sáu mươi chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_236.wav , bảy mươi tám bảy mươi chín                                              , bảy mươi tám bảy mươi chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_246.wav , chín mươi tám chín mươi chín                                            , chín mươi tám chín mươi chín
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_264.wav , buổi sáng thành phố ô nhiễm hơn buổi trưa                               , buổi sáng thành phố ô nhiễm hơn buổi trưa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_266.wav , nóng giận tôi đã lăng mạ anh                                            , nóng giẫn tôi đã lăn mà anh
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV07\VIVOSDEV07_295.wav , chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này            , chủ tàu cho biết sẽ tiếp tục thương thyết về số chi phí này
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_002.wav , đừng để con sâu ăn                                                      , đừng để con sâu ăn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_005.wav , cây cổ thụ ấy bất chợt bị bệnh tật quật ngã                             , cây cổ thủ ấy bất chợt bị bệnh tật quật ngã
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_014.wav , và nếu bạn trót làm lộn xộn màn hình nền                                , và nếu bạn trót làm lụn sộn màn hình nền
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_025.wav , đạo diễn trẻ này có nhiều điều ngẫm ngợi về nghề                        , đạo diễn tẻ này có nhiều điều ngẫm ngợi về nghề
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_032.wav , sẽ không khiến bạn trông gầy như những trang phục một màu               , sẽ không khiến bạn trong gầy như những trang phục một màu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_053.wav , bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập              , bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_057.wav , nó lật đật đạp chiếc xe cà tàng băng ngay ra đầu đường                  , nó lật đặt đạp chiếc xe cà tàng băng ngay ra đầu đường
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_062.wav , hoặc chỉ biểu hiện bằng các rối loạn co bóp                             , hoặc chỉ biểu hiện bằng các rối loạn co bốp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_071.wav , khi tôi là con bé lớp bốn thì cây vả đã cao quá nóc nhà                 , khi tôi là con bé lớp bốn thì kây vã đã cao quá nốc nhà
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_077.wav , buổi đầu thật khó khăn theo đuổi chương trình học                       , buổi đầu thật khó khăn theo đuổi chương trình học
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_085.wav , việc đưa tín hiệu truyền hình trực tiếp bằng hệ thống cáp quang         , việc đưa tín hiệu truyền hình trực tiếp bằng hệ thống cấp quan
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_090.wav , vì không có tiền đóng học phí                                           , vì không có tiền đóng học phí
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_093.wav , thì bỗng nghe mấy tiếng oác oác từ vạt rừng phi lao                     , thù bỏng nghe mấy tiếng oát oát tự vặt rừng phi lao
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_100.wav , hay đảm bảo rằng ngày nào chúng cũng được đi những đôi tất sạch         , hay đảm bảo rằng nghềy nào chúng cũng được đi những đơi tất sạch
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_127.wav , về việc mang đến cho các em niềm vui học                                , về việc mang đến cho các em niềm vui học
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_128.wav , có lẽ phải mất nhiều thời gian                                          , có lẽ phải mắt nhiều thời gian
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_129.wav , nước gỗ trên chiếc đồng hồ đã bắt lên màu gụ bóng loáng                 , nước gỗ trên chiếc đồng hồ đỡ bắt lên màu gụ mống loán
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_141.wav , khi sức ép biến mất chúng trở lại tình trạng mềm dẻo bình thường        , khi sức ép biếng mắt chúng trở lại tình trạng mềm dẽ bình thường
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_143.wav , tham gia giảng dạy là lực lượng đoàn viên                               , tham gia giảng dại là lực lượng động viên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_145.wav , và vải hoặc cói nhiều màu                                               , và vải hoặc có nhiều màu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_159.wav , với người mẹ ở xóm chài long biên                                       , với người mẹ ở sớm thài long biên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_163.wav , chương trình đã tạo được hiệu ứng tốt từ phía khán giả nhí              , chương trình đã tạo được hiểu ứng tốt từ phía khán giả nhí
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_166.wav , dịch vụ kiểm tra sức khỏe định kỳ là một ý kiến hay                     , dịch vụ kiểm tra sức khỏe định kỳ là một ý kiến hai
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_180.wav , chính sự lên sàn ồ ạt đó                                                , chính sự lên sàn ồ ạc đó
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_182.wav , kết quả chỉ có vỏn vẹn ba người còn biết dệt                            , kết quả chỉ có vỏn vẹn ba người còn biết dệp
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_193.wav , là tương đối có hiệu quả                                                , là tương đối có hiệu quả
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_196.wav , phần lớn học sinh giàu có người nước ngoài                              , phần lớn học sinh giạo có người nước ngoài
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_201.wav , không một hai ba bốn                                                    , không một hai ba bốn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_208.wav , hai mươi hai hai mươi ba                                                , hai mươi hai hai mươi ba
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_210.wav , hai mươi sáu hai mươi bảy                                               , hai mươi sáu hai mươi bảy
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_214.wav , ba mươi bốn ba mươi lăm                                                 , ba mươi bốn ba mươi lăm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_222.wav , năm mươi năm mươi mốt                                                   , năm mươi năm mươi mốt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_224.wav , năm mươi bốn năm mươi lăm                                               , năm mươi bốn năm mươi lăm
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_233.wav , bảy mươi hai bảy mươi ba                                                , bảy mươi hai bảy mươi ba
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_270.wav , nói thật đấy à                                                          , nới thật đe à
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_271.wav , quá tốt rồi                                                             , quá tốt rồi
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_274.wav , tôi chết cùng với ánh trăng                                             , tôi chết cùng với ánh trăng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_277.wav , đàn ông có hai thứ để buồn                                              , đàn ông có hai thứ để buồn
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_295.wav , giàu đổi bạn sang đổi vợ                                                , giào đổi bạn sang đổi vợ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV08\VIVOSDEV08_300.wav , án mạng trên toa tàu tốc hành                                           , án mạng trên to tàu tóc hành
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV09\VIVOSDEV09_015.wav , làm rờm rợp biển mây lau lách phất phơ                                  , làm rầm rộp biển mây lâu lách vất phơ
