Gốc (Reference)                                                         , Máy đoán (Prediction)
nước gỗ trên chiếc đồng hồ đã bắt lên màu gụ bóng loáng                 , nước gọt tranh chiếc đồng hồ đỡ bắt lên màu gộ mông loán
khi sức ép biến mất chúng trở lại tình trạng mềm dẻo bình thường        , khi sức ép biến mất chúng trở lại tình trạng mềm giẻ bình thơn
tham gia giảng dạy là lực lượng đoàn viên                               , tham ra giảng giải là lịt lượt lượng động viên
và vải hoặc cói nhiều màu                                               , và vại hoặc cói nhiều mào
với người mẹ ở xóm chài long biên                                       , với ngời mẹ ở sốm ch ai long biên
chương trình đã tạo được hiệu ứng tốt từ phía khán giả nhí              , chương trình đã tạo được hiện ứng tốt từ phía khán giả nhí
dịch vụ kiểm tra sức khỏe định kỳ là một ý kiến hay                     , dích vố kiểm tra sức quả định kỳ là mố ý kiến hai
chính sự lên sàn ồ ạt đó                                                , chính sử lên sang ồ ạc đó
kết quả chỉ có vỏn vẹn ba người còn biết dệt                            , khach quả chỉ có vỏng vạn ba ngời còn biết giệp
là tương đối có hiệu quả                                                , là tương đói có hiệu quả
phần lớn học sinh giàu có người nước ngoài                              , phần lớn học sinh giọc có người nước ngoài
không một hai ba bốn                                                    , không một hai ba ba bốn
hai mươi hai hai mươi ba                                                , haym yên hai m yên ba
hai mươi sáu hai mươi bảy                                               , hao � � � � � � � � �
ba mươi bốn ba mươi lăm                                                 , ba mươi vốn ba mươi lăm
năm mươi năm mươi mốt                                                   , nam mươi nam mươi mốt
năm mươi bốn năm mươi lăm                                               , năm mười vốn năm mười lăm
bảy mươi hai bảy mươi ba                                                , bảy mươi hai bảy bì ba
nói thật đấy à                                                          , nối thật têa
quá tốt rồi                                                             , quá tốt rồi
tôi chết cùng với ánh trăng                                             , tôi chất cùng với anh trang
đàn ông có hai thứ để buồn                                              , đại ông ai thứ để bồn
giàu đổi bạn sang đổi vợ                                                , giàu đối bạn sang đối vợ
án mạng trên toa tàu tốc hành                                           , ánh mạn rinh to tò tóc thành
làm rờm rợp biển mây lau lách phất phơ                                  , làm rằm rọp bị mây làu lất vất phơ
trứng mực quyến rũ các ngư dân                                          , chuẩn mặc quyến rỗ các ngừa dần
bạn có thể khiển trách người lái xe                                     , bạn có thể kiện trách người lái xe
loáng thoáng trăn trở loáng thoáng buồn vui                             , loan thoán trần trậy long thoán buồn vui
phòng trà khiêu vũ cánh quạt cối xay đỏ                                 , phốn phọng trà khi vụ kính quảt có xây đó
thịt ngọt lừ ấy lại mang theo trùng sán gây bệnh                        , thịch ngọt lự gái lại mang trồng sáng ngay bệnh
hiện trong nhiều loại tỏi có mặt trên thị trường                        , hện trong nghiều loại có mặt trên thị trượng
ngày căn bậc hai chỉ diễn ra chín lần trong một thế kỷ                  , ngày căn bật hai chị diễn ra chính lần trong một thấy kỹ
rồi rơm rạ khô theo thân hình gầy ngẳng                                 , rồi gom rạ khô theo thân hình gày dạc ngắn
để có thể vận hành chúng được hiệu quả hơn                              , đạt có thể phần hành doách chúng được hiệu quả hơn
được mỹ ráo riết tung ra                                                , được mấy ra khuyết tùng ra
vì lượng ca khúc mới quá nhiều                                          , về lựn ca khúc mới quá nhiều
nước chảy quá mạnh                                                      , nước chảy quá mạnh
khiến cả hai phải giận hờn vô lý                                        , khiến cá hai phải dạn hờn vô lý
rồi chìm lỉm một thời gian                                              , rồi chiềm lĩm một thời gian
khi miệng vẫn ngậm bầu vú quắt queo                                     , khi miệng vẫn nhậm mầu vú vớt quayo
câu trả lời của ông ta rất khiếm nhã                                    , câu trả lời của khỏo ông toàn rất khiếm nhả
nếu chủ đầu tư không tự phá dỡ thì bị cưỡng chế                         , nếu chủ độ trủ tư không tự phá giả thì bị cưỡng chấy
về chuyện đang theo dõi bọn gián điệp nước ngoài                        , về chuyện đang theo dỗi bộn gián nước ngoài
được cắt từ vỏ chăn bộ đội cũ của các ông bố ra                         , độ trất từ vỏ chần bộ đội cũ của các ông bố ra
sợ nhất là mùa mưa sấm sét đùng đoàng trên núi                          , sở nhất là mồ mười sống sát đụng đoạn trên núi
tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư             , tức lấy sụng lành tự nơi không phải chiều lực gáp vào nơi hư
điều vô cùng quan trọng trong thời đại có quá nhiều hoạt động           , đều vô cùng vang trọng trong trong thời đại có nhiều hoặc động
thí sinh tự do cần quan tâm đến độ vênh kiến thức các môn               , thí sinh tự do cần quan tâm đến độ vành kiến thức các môn
mỗi người chúng ta sẽ có những thứ khác nhau                            , mọi người chúng ta sẽ khó những thứ khác nhau
và thậm chí bạn cũng không nên cố gắng                                  , và khẳm khí bạn cũng không nên cô gắn
trên bầu trời ánh trăng sáng vằng vặc                                   , trên bồ trời ánh trăng sáng phần vặc
là tổ tiên của ông đặng lên đảm trách việc dẫn đường                    , là tổ tin của ông đặng lên đảm chất việt dẫng đượng
tám chín mười mười một                                                  , tam chính mười mười một
mười một mười hai mười ba                                               , mề một bì ham mề ba
năm mươi năm mươi mốt                                                   , năm mười năm mối mốt
chín mươi tám chín mươi chín                                            , chính mười tám chín mười chín
căn nhà đằng kia nghe nói có ma                                         , cân ngày đằng khi ngay nói cố ma
thú thật tui chưa từng chơi gái                                         , thuốc thật tù chưa từng chơi gái
xuân này em không về                                                    , xuong này em hông về
có còn hơn không                                                        , có cọn hơn không
chắc sắp tới thu xếp đi du lịch thôi                                    , chất sập tối tu xắp đi du lịch dựu rịch thoi
phương châm sống của tôi là người không vì mình trời tru đất diệt       , phương chăm sống của tôi là người không về mềnh chời chu đất diệt
nó trốn mất tiêu rồi còn đâu                                            , nó trốm ất tiều phải còn đâu
thế nào là hoàn hảo                                                     , thấy nào là ngoàn hạo hạo
khi bị công an thộp cổ khẩn cấp                                         , hì bị công an hợp cổ hản cấp
sau khi đọc những thông tin trên báo                                    , sau hỳ học nhấn thống kinh trên báo
nga khi ấy càng thìn nết na                                             , ngga hì ấy càng nhìn nất ngga
việc áp dụng cả bàn vá lỗi và công cụ quét                              , việc áp dụng cá bàn vá đỏi và công của qué
ngoài trời mưa cứ lay phay rắc hạt                                      , ngoài trời mưa tới đại phầy gắt hạt
nuôi mô hình tinh hoàn rồi tạo ra tinh hoàn với đầy đủ hình hài         , nguy mô hềnh kinh quaang ngồi cảo ga kinh hoàng với dài ở u hềnh hàng
có thể giúp ta quên đi những nỗi ưu phiền                               , có thể giúp ca quanh y những ngỏi u phiền
mà dung dăng nhé cầm tay đất trời                                       , mà dung doanh ngé cầm ca đất trời
tôi lớn lên trong sự ghẻ lạnh của người mẹ kế                           , côi giớ ngôn rên công sự gẻ lạnh của người mẹ kế
khung răng hàm trên khum                                                , hung nganh hàm kinh hung
thế nhưng tôi không ân hận khi trở thành đả nữ                          , hay nhận cuối thông ăn hận hì chở hành đã ngữ
với một tốc độ mà chúng ta không thể đi đến tận cùng của nó             , gối một cấp độ mà chúng ca hòng mẻ đi đến cận cộng của ngó
tôi thấy đồng lương của mình năm năm rồi vẫn đứng nguyên                , cũi thấy đồng đương của mình ngấm ngấm gồi vẫn hứng nguyền
để chấm dứt nạn bạo hành trong gia đình                                 , nỡ cấm giức ngạng bạo hành trong dàiện
làm đường sá ngập xắp xắp quanh năm suốt tháng                          , đạo được sá ngập sắp sắp quanh ngôm truyốc hén
vừa được trao tặng giải thưởng nhà nước                                 , vừa yệt là trao trạnh giải hữu nhà ngót
cái khó là                                                              , cái hóa
điều này đúng với mọi cấp độ và trong mọi lĩnh vực của đời sống         , đều ngày đống với mọi cấp ổ và công mọi ễn vực của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của của củ
cao ngồng ngồng                                                         , cao ngồng ngồng
chàng trai lồm cồm bò dậy mặt mày xanh lét như tàu lá chuối             , trần trai đột cồm bồi dại mặt mà sanh đé như cảo áo chuối
chính phủ đồng thời cũng lập thêm cục xúc tiến tiêu thụ dầu cọ          , tinh phủ lòng hồi cũng lập hêm cộc suốt kén kêu hộ dầu cỏ
cũng là tin vui cho tất cả những ai                                     , cũng là kinh bui cho các cất cả những ai
hượm đã còn phải điều chỉnh                                             , hỗm nã còn vải yều chỉnh
trong tình thế ấy chỉ đám trẻ ven sông                                  , cong cịnh thấy ấy chỉ đấm trẻ ven song
nếu đi tiếp nha trang                                                   , nghĩu yê kếp nga trang
tức chanh có thể trị được bệnh                                          , tức canh có thể trị đột bệnh
chỉ muốn làm một hơi cho đã cái miệng                                   , kki chỉ muốn ngàm một hơi còi còi cái mẹn
hai mươi tám hai mươi chín                                              , hang mươi cám hang mươi chính
ba mươi ba mươi mốt                                                     , ba mười ba mười mốt
sáu mươi sáu mươi mốt                                                   , sám mười sám mười mốt
bảy mươi bốn bảy mươi lăm                                               , bảy mười bốn bảy mười đam
tám mươi bốn tám mươi lăm                                               , cám mươi bốn cám mươi dầm
chín mươi sáu chín mươi bảy                                             , chín mươi sáo chín mươi bảy
một trăm một hai ba                                                     , một trăm một hay bà
không hai bốn sáu tám                                                   , họng hài bốn sáu cám
tiền điện tháng này bao nhiêu                                           , kỳ nghiện hát ngày bao nhiêu
thua xa tiệm tạp hoá nhà tao                                            , huộ tra kỹm cặp hoa ngà cao
từ trên nóc nhà nhìn xuống có khác                                      , cự trân ngốc ngàn nhền xuống có hét
tội nghiệp đứa nhỏ không ai chăm sóc                                    , cọi nghiệp đướng nhỏ hong ai chăm sóp
em sợ có một ngày anh gặp người con gái khác tốt hơn em rồi anh bỏ em   , em sợ có một ngàn anh gặp người con gái thác có thân em gồi anh bỏi em
nữ diễn viên xinh đẹp phạm băng băng                                    , nởi dễn viên sinh đề phạm băng băng băng
sẽ làm giảm tình trạng ói ọc của trẻ                                    , sẽ làm tình trạng ói ối ốc của trẻ
mà phải che chái ở tạm bên hông nhà cha ruột                            , mà phải che cháy ở tạm bên hông nhà cha ra ruột
tôi có thể căm giận đủ thứ                                              , tôi có thể cảm dần độ thứ
mà phải chuyển qua hình thức giao dịch                                  , mà phải truyện qua hành thất giao dịch
đừng bao giờ để cho bất kỳ ai nói với bạn rằng                          , đền bao giàu để để cho bất kỳ ai nói với bản rằng
vàng óng đôi ghệt cao cổ của ngự lâm quân                               , vàng ấm đôi gạch cao cỗ của ngựu làng quân
nếu vì chúng tôi                                                        , néo vì chúng tôi
nếu bạn vẫn cảm thấy tội lỗi                                            , neo bạn phản cảm thấy tội lỗi
dãi dầu nắng gió trường sơn                                             , dải dòn nắng gió trường sơn
với trên là núi và dưới là sông                                         , với trên là núi và dới là sông
với sự xuất hiện của quái thú và rồng                                   , với sự xuất hiện của quái thú và rồng
nét mặt họ không ngời lên hạnh phúc của người mẹ                        , nét mặt họ không ngời lên hạnh phúc của người mẹ
một số người cho rằng                                                   , một số người cho rằng
một sinh viên được vay vốn tín dụng học tập                             , một sinh viên được vay vốn tính dọng học tập
mọi thứ đều được mổ xẻ lại                                              , mỗi thứ đèo được mỗi sẽ lại
không phải nắp khum                                                     , không phải nắp khôm
các công ty du lịch phải xác định                                       , các công tây dù lịch phải sắc đềnh
đi bộ leo núi đến nhừ chân                                              , đi bọ lèo nuối đến nhự chân
thì chủ đầu tư phải tự phá dỡ phần nội dung sai phép đó                 , thì chủ đầu tư phải tự phá giỡ phần nội dung sai phép đó
khi nhân viên cứu hộ cố gắng đưa nó lên sà lan                          , khi nhăng viện của họ cố gắng đừa nó lên sà lan
những người này đều được đào tạo về hội họa                             , những người này đều được đầu tạo về hỏi họ
gắn lông chim hột đá lóng lánh hay bèo dún tùa lua đầy cổ               , gắn lòng chim hột đá lóng lánh hày bèo dướng tồ lô đầy cổ
ngụ ấp hòn ngang                                                        , ngủ ấp họn ngang
ít nhất ở hơn ba mươi trường thuộc các địa phương nói trên              , ít nhất ở hơn ba mười trường thuột các để phương nói trên
đặc điểm của phẩy trùng tả                                              , đặc đặc điểm của phải trồng tả
vì ban đêm chị ngủ không ngon                                           , vự ban đem chịa ngủ không ngon
lơ lửng trên đầu là những chiếc bẫy đá hàng trăm khối                   , lờ lận trên đầu là nhận chiếc bảy đá hàng trầm khối
năm đầu tiên                                                            , năm đầu tiên
bảy mươi bốn bảy mươi lăm                                               , bảy mươi bốn bảy mươi lăm
chín mươi chín mươi mốt                                                 , chín mơi chín mơi mốt
chín mươi tám chín mươi chín                                            , chín mươi tám chín mươi chín
bây giờ cướp nhiều quá đi đường cũng thấy sợ                            , bay già cướp nhiều quá đi đường cũng thấy xợ
tìm hung thủ hiếp dâm bằng nước bọt nạn nhân                            , tem hôn thủ hếp dâm bằng nước bọt nạn nhân
chúng tôi yêu nhau được hai năm thì gia đình tôi xảy ra chuyện          , chúng tôi yêu nhau được hai năm thị gia đình tôi xấy ra chuyện
trọng tài phạt thẻ đỏ                                                   , trọng tài phạt thẻ đỏ
kiểu này chắc phải cắt giảm biên chế                                    , kkiểu này chắc phải cắt giảm biên chế
thôi thì cứ sắp xếp như vậy                                             , thôi thầy cử sắp xếp nhừ vậy
theo phó chủ tịch ủy ban an toàn giao thông quốc gia                    , theo phó chủ tịch quỹ ban an toàn giao thông quốc gia
chuẩn bị cho ngày khai trương cửa hàng đầu tiên                         , chuẩn bị cho ngày khai trương cửa hàng đầu tiên
từ sự dư thừa quá mức của luồng tiền này                                , từ sự dưa thờ quá mức của luộn tiện này
đó chứng tỏ rằng chúng ta đã già                                        , đó chứng tỏ rằng chúng ta đã dà
trả lại đất cho rừng                                                    , trả lại đất chồ rừng
các loại cây trồng ở rừng này toàn cây kém giá trị                      , các lội kỳ trồng ở rừng ngay toàn kỳ kém giá chị
thiếu sự quan tâm đúng mức từ các cơ quan chức năng                     , thất sự quan tậm đúng mớt tự các cơ quan chức nằng
tại chợ cá                                                              , tòi chợi cá
không phải vì tôi không coi trọng chất lượng                            , không phải về tòi không côi chọng chất lượng
thì đọc được hồi ký không thể chuộc lỗi trên báo tuổi trẻ               , thì đọc được hồi ký khồng thể chuột lỗi trên báo tuổi trẻ
thiếu tướng phạm quý ngọ cho biết                                       , thiệu tướng phạm quý ngọ chọ biết
không một chút trầy trụa mà đền cái gì                                  , không một chúc trầy trộ mà đền cái gì
nó được đặt trong một hộp đựng trang sức bọc da đỏ                      , nó được đặt công một họp đựng trang sức bọc giaa đỏ
nhóm thanh long trẻ diễn tiểu phẩm hài hắc bạch tranh hùng              , nhóm thành lòm trẻ diện tiệu phẩm hài hắt bật trành hùng
tớ đi kiếm nhà trọ rồi nhưng khó quá                                    , tối đị kým nhà trọ rồi nhừng khó quá
xanh cỏ mượt mà ven đường                                               , sân cỏ mượt mà ven đường
chính thức đã lây lan ra bên ngoài                                      , chính thức đã lầy làng ra bền ngoài
phụ huynh và học sinh đang phải è cổ vì sách giá cao                    , phố hình và học sinh đang phải à cỏ vì sắt giá cao
khi chính phủ lúc đầu đề nghị ân xá cho những người nổi dậy             , khi chính phủ lúc đậu đề nghị ăn xá cho những người nổi dạy
dưới ánh đèn mờ mờ ảo ảo                                                , dưới ánh đèn mờ mờ ảo ảo
trong cuộc bỏ phiếu tại hội đồng bảo an hai ngày trước đó               , trong cuộc bộ phiểu tòi hội độn bảo an hay ngày trước đó
hầu hết những vấn đề xảy ra trên thế giới                               , hầu hót những vấn đề xảy ra trên thới thới giới
ông được nhiều người biết đến                                           , ông được nhiều người biết đến
trả lời tôi biết                                                        , trả loi tôi biết
ịch gã to béo ục ịch                                                    , ịch gha tòa béo øt ở
áo rách lươm bươm                                                       , áo rất lùm bùm
đối với những phản ứng khác biệt đó                                     , đối với những phản ứng khác biệt đó
và đã hiến máu ba lần                                                   , và đã hiến máu bà loạn
tiếng hét đồng thanh của mấy chục con người                             , tuyến hét động thành của mé chục cô người
trang thứ hai của tờ báo                                                , tràn thứ hại của tồi báo
sau đó bà hàng xóm tính tình xởi lởi chạy qua kể với tôi                , sau đó bài hàng sóng tính tên sối lỗi chạy qua kể với tôi
ba mươi hai ba mươi ba                                                  , bha mươi hại bạo mươi bà
năm mươi hai năm mươi ba                                                , nằm mười hài nằm mười bà
năm mươi bốn năm mươi lăm                                               , nằm mười bổn nằm mười lầm
sáu mươi sáu mươi mốt                                                   , sau mười sau mười mốt
bảy mươi bảy mươi mốt                                                   , bảy mười bảy mười mốt
chín mươi bốn chín mươi lăm                                             , chín mười bổn chín mười lầm
một ba năm bảy chín                                                     , một bà năm bậy chín
bà con rang trí cành đào để chuẩn bị đón tết                            , bà còn tràng chí cạnh đạo để chuẩn bị đó tết
tôi không thấy gì là đúng khi tăng giá xe vào các dịp tết               , tôi khỏng thấy gì là đủng khi tăng giá xàe vào gác diệp tớt
du lịch sẽ trở thành ngành kinh tế mũi nhọn                             , dù lệch sẽ trả thần ngành kỳnh tế mỗi nhọn
từ khi chồng qua đời vì bệnh tật                                        , từ khi chọng qua đồi vì bệnh tật
đơn vị mình không nghe ai nói gì chưa hẳn đã tốt                        , đơn vị mình thông nghe ai nói gì chưa hẳng đã tốt
không ai được ngược đãi các em vì các em học chậm                       , không ai được ngược đã các em về các em học chạn
già làng nguyễn mạnh tường trả lời phỏng vấn báo giới ảnh trung dân     , da là nguyễn mảnh tường chả lời phẩn vấn báo giới ảnh trung dân
đó là giai đoạn thời tiết ít biến động và nhiệt độ không quá thấp       , đó là giai đoạn thời tiết ít biến động và nhiệt đổ không góa tháp
nhưng sau nghe con nói ra nói vào lại ác cảm với em                     , những sau nghe con nói ra nói vào lại ác cảm với em
những điếu thuốc vô ý đốt cháy vài chỗ trên chiếc sô pha bọc vải        , những đếu thuốc vừa ý đốt cháy vài trở trên chiếc sua pha bọc vải
bạn có thể tắt chương trình đó đi và thực hiện thao tác cuối cùng       , bạn có thể tắt chương trình đó đi và thực hiện thao tác cuối cùng
khắp nơi quanh chúng tôi vương vãi xác chết của người dân vô tội        , kháp nơi quanh chúng tôi vương vải sát chết của người dân vô trội
những chiếc lồng đèn đồ chơi việt vẫn lặng lẽ mang hồn việt xuống phố   , những chiếc lòng đoen đoen đồ chời việc vẫn lặng lẽ mang hoòn việc xuống phố
nhà văn nguyên ngọc sinh viên có quyền hoài nghi và tranh cãi           , ngò văn nguyên ngọc sinh ngò văn nguyễn nguyễn hoài nghi và tranh cải
cuộc thi còn có hai giải nhì ba giải ba và bốn giải khuyến khích        , cuộc thi còn có hai giải nhì ba giải ba và bốn giải khuyến khích
hầu như các phản ứng phụ nặng nề là rất hiếm gặp                        , họnh như các phản ứng phủ nặng nề là rất hiếm gặp
số tiền quá lớn khiến gia đình hương phạm và lê choáng váng             , số tiền qua lớn khiến gia đình hương phạm và lê chuấn váng
nhóc đỏ mặt tía tai nhóc thua chị một tuổi thôi đấy                     , ngóc đỏ mặt tía tay ngóc đỏ mặt tía tay ngóc thưa chị một tuổi thôi đáy
cảm giác được chia sẻ với bạn đời cùng sở thích thú vị lắm              , cảm giác được chi xẻ với bạn đời cũng sở thích thu vị lấm
tôi vào quầy giải khát đầu tiên và gọi một cốc nước cam                 , tôi vào quầy giải khác đầu tiên và gọi một cóc nước gòn
mẹ lần tay trong ví và lấy ra chiếc phong bì                            , mẹ lần tay trong ví và lấy ra chiếc phong bì
tiêu như phong chạy trốn khỏi kinh thành để tìm hung thủ thật sự        , tiu như phong chảy chốn khoái kinh thành để tìm hung thủ thật sự
có ngày các bác sĩ điều dưỡng mổ mắt cho hàng trăm người mù nghèo       , coi ngày các bác sĩ đều giữ mỗ mắt cho hàng chăm người mù nghèo
không ai muốn có tiêu cực cả và cũng đừng tuyệt đối hóa vấn đề          , không ai muốn có tiều cực cả và cũng đừng tuyệt đối hóa vấn đề
vợ hắn thị ngần mang lưới ra vá để chiều thả                            , vỡ hắn thị ngần mang lới ra vá để chiều thản
hiện cơ quan chức năng đang tiếp tục điều tra vụ việc                   , hiện cơ quan chức năng đang tiếp đuộc điều tra vụ việt
khi bị phát hiện họ đã trả lời như thế nào                              , khi bị phát hiện họ đã trả lời như thế
rà soát chất lượng công trình xây dựng trên cả nước                     , rha sát chất lửng công trình xây dựng trên cả nữuốt
không nản nghĩa tin rằng sẽ có một giải pháp nào đó                     , không nãng nghĩa tin rằng sẽ có một giải pháp nào đóng
mẹ cũng đã từng thống khổ tuyệt vọng và cô đơn như vậy                  , mẹ cũng đã từng thấn khỏ thuyệt vọng và cô đơn như vậy
hai loại văn này nên được coi trọng như nhau trong các kỳ thi           , hay loại văn này nên được coi chọng nghi nhau trong các kỳ thi
vậy mới có mục tiêu để mà phấn đấu nên người có ý thức                  , vậy mới có một tiều để mà phấn đấu nên người có ý thế
tại đây có một ông trưởng phòng nhân sự công ty                         , tấy đấy có một ông chuyển phồng nhấn sự công ty
chỉ một điều đơn giản vậy mà anh ấy không bao giờ thực hiện được        , chỉ một điều đường giản vậy mã anh ấy không bao giờ thực hiện được
chẳng cần nhìn về phương tây quê hương của hàng hiệu                    , chấn cần nhìn về phương tay quy hương của hàng hiệu
mùa đông cả cánh đồng chuyển sang một màu vàng rực                      , o'donir các cánh đồng chuyển sang một màu vàng rực
tôi học cùng với các anh chị làm việc chuyên về sản xuất phần mềm       , tôi học cùng với các anh chị làm việc chuyên về sản xuất phần mềm
có lẽ đây là lời quảng cáo không công hay nhất cho du lịch lào          , có lẽ đây là lời quản cáo không công hay nhất cho dưu lịch nào
từ đó đến nay gia đình chị vẫn sống trong căn nhà lụp xụp               , đự đó đến nay gia đình chị vẫn sống trong căng nhà lực sự
bạn cần trung thực với nhân viên của mình trong mọi hoàn cảnh           , bạn cần chung thực với nhân viên của mình trong mọi hàng chứ
một số điểm nước phun đến đâu bay hơi hết đến đó                        , một số điểm nước phung đến đau bay hơi hết đến đây
do vậy vấn đề khu trú khống chế bệnh tả hiện nay rất khó                , do vậy vấn đề khu chú không chế bệnh tả hiện nay rất không
đó là câu hỏi mà đến nay vẫn chưa có câu trả lời                        , đó là câu hỏi mà đết nay vẫn chưa có câu chả là
hà nội mở rộng khu vực hồ tây sông hồng nên là khu vực tĩnh             , hà nội mở rỗng khu với về khô tay song hồng nên là khu vực tỉnh
biên chế này nhà thanh gọi là an nam quốc nhạc                          , biên chế này nhà thanh gọ là anh nam quốc nhẹt
hơn là dẫn dắt các em theo chủ ý của giáo viên                          , hơn là dấn giắc các em theo chủ uy củi do viên
bạn có thể tham khảo một sơ yếu lý lịch điện tử sau đây                 , bạn có thể tham khảo một số xơi đi lịch điện tử sau đây
nhạc sĩ la hối với ca khúc xuân và tuổi trẻ                             , nhạc sĩ la hối với các hút xuân và tuổi trẻ
vậy ai sẽ chịu trách nhiệm về những trường hợp này                      , về ai sẽ chị chất nhiệm về những trường hợp này
tuy phía trước còn vô và khó khăn đối với con                           , tri phé triệt cốn vô về khoa hằng đối với còn
bốn năm trời bị câm một mình với bóng mình nhiều phen òa khóc           , gũn năm trời bị cam một mình với bóng mình nhiều phen ạc khóc
em sợ mất anh ấy nhưng lại cảm thấy mình bị xúc phạm                    , em sở mất anh ấy nhường là cảm thay mình bị xúc phạm
trò đùa đối với thầy nhưng lại là chân thật chân thật với một người     , cho đùa đối với với thải nhưng lại lại là trân thoật chân thật với một người
đó là nhận xét chung của nhiều tổng giám đốc điều hành ngày nay         , đó là nhận xét chung của nhiều tổng giám đốc điều hàn nghề nay
người pháp đã đồng ý với cách quản lý lĩnh vực dành riêng               , người phép đã đồng uy với cách quản lý lĩ lĩnh vực dành riêng
hắn thay đổi lầm lì sau khi theo gia đình đến xứ người                  , hắn thầy đỗ lầm lùy sau khi theo gia đình đến sứa ngồi
yếu tố hấp dẫn mới thu hút đầu tư nước ngoài vào việt nam               , yếu tố hấp dọng mới mới thủ hút đầu tự nước ngoài về việt nam
vậy mà giờ đây nó không đợi được đến lúc huy về                         , về mà giờ đây đầy nó không đỡ được đến lúc huy về
một góc câu cá trên cầu sài gòn ảnh mai vinh                            , một góp câu các trinh cầu sài gọn ảnh may vinh
một vài người trong bọn họ đưa mắt nhìn mảnh giấy                       , một vài người trong bọn họ đứa mắt nhìn mảnh giấy
nhưng trước đây nhìn từ bên ngoài nơi này không khác một căn nhà hoang  , truyệt đang nhìn từ bên ngoài nơi ngôi nời này không hát gì một căn nhà hoa
có nhưng phải là thuốc đặc trị của pháp hiếm và cực kỳ đắt              , có nhung phải là thuốc đặc chị của pháp hiếm vực kỳ đất
một số bạn trẻ cũng có ý nghĩ như cao cường                             , một số bạn chỉ cũng có ý nghỉ nhiêu cao cườn
tôi đã có thời gian tuyệt vời khi chơi cho đội tuyển                    , tôi đã có thời gian tiệc vời khi chơ cho đổi tuyển
thỉnh thoảng con đi qua dừng lại dựng xe ngồi hút thuốc                 , thỉnh thảng con đi qua dựng lại dựng sẻ ngồi hút phuốc
chú bộ đội qua những câu chuyện của ông mới gần gũi làm sao             , chuốc bộ đội qua những câu truyền của ông mới gần gũi làm sau
ăn cá ngừ cá thu và cá mòi với rau trộn                                 , anh cả ngự các thu và cá mọi với rấu chỗn
có bằng thạc sĩ những ngành trên là một lợi thế                         , có bằng thạc sĩ nhưng ngành trên nàm học loại thế
minh nhật hồng quân vũ công thành sưu tầm từ báo nước ngoài             , minh quân họng quân vũa công thành sư tập từ báo nước ngoài
muốn có bằng lái phải qua một đợt thi rất khắt khe                      , vũng có đặng ấy phải qua một được thi đức khác khe
yêu nhau khoảng vài tháng thì chúng tôi đã có quan hệ tình dục          , yêu nhau khoảng vài tháng thì chúng tôi đã có quan hề nghề
khó sao duyên dám cho anh uống rượu trong đám cưới                      , khoa sau dùyên giám chành uốn rụ trong đám cưới
ông dương đức lân phó tổng cục trưởng tổng cục dạy nghề                 , ông dương đước lân phó tậm cục trưỡng tập cũng dạy nghề
đối xử với bạn như người yêu cũ của bạn đã từng làm                     , đối sử với bạn như người yêu của của bạn đã từng làm
tham gia thiết kế lăng chủ tịch hồ chí minh thì có nhiều người          , tham dà thiết kế lăng chủ tịch hồ chứ mình thị có nhiều người
vì vậy công ty b phải có trách nhiệm bồi thường                         , về vậy công ty bê phải có trách nhiệm bồi thường
nông dân trồng mía than cứ một vụ được lại ba vụ thất                   , nong dân trọng mấyết hang cứ một vụ lại được ba vụ thức
thì người xem cũng được nâng cao kiến thức về địa lý                    , thì người sem cũng được nâng cao kiến thất với đị lấy
ngày xưa các cụ làm bìa sách là minh hoạ cho cuốn sách đó               , ngày xưa các củ làm bị sách là minh hạ cho cuốn sách đó
tôi đã nhiều lần phản đối quyết liệt việc nước thải tuồn ra ngoài       , sối đã nhiều luận phản đối quyết liệp việt nước thải tuốn đam ngoại
nhiều gia đình hiện nay thích tự giới thiệu chương trình                , nhiều gia đình hiện nay hích tử giễ thịu trung trình
tôi là một người miền tây đang là nghiên cứu sinh ở mỹ                  , tôi là một người miền tay đen là nghiên cứu sinh ở mễ
càng đi sâu vào bên trong cảnh trí thiên nhiên càng hùng vĩ             , kỳ đi sau và bình trong cảnh chứ thiên nhiên càng hụng vỹ
mong bạn bình tâm suy nghĩ và chọn được cách giải quyết tốt nhất        , mong bạn bình tâm sự nghĩ vào chọn được cách giải quyết tốt nhấp
điều này khó hơn khi bạn vào bàn tiệc toàn người xa lạ                  , điều này khỏ hơn khi bạn rồ bạn tịa toàn ngời sa lạ
cũng đều trong tư thế ngõ nhỏ phố nhỏ phở tôi ở đó                      , cũng đều trong từ thể ngó phố phố nhỏ phỡ tôi ở đó
thành một chiếc lồng đèn khổng lồ tại công viên ở thủ đô bắc kinh       , thấn mồ chết lòn nèn khổng lồ tại cong viên ở thủ đố bắt kinh
câu chuyện của quá khứ ông kể không biết bao nhiêu lần                  , cơ cho tràn của qua qua khứ ông cải khống biết bao nhau làn
màu son trông thật tuyệt trên bất kì màu da nào                         , một son trong thịa chấy bất kỳ mầu gia nào
